Station,Distance,Original,Optimal,Grade,ChangeGrade
1,0,51,51.0,5.0,
2,100,67,56.0,0.5882349999999974,-4.411765000000003
3,200,61,56.588235,-5.0,-5.588234999999997
4,300,55,51.588235,-5.0,0.0
5,400,40,46.588235,-5.0,0.0
6,500,45,41.588235,-5.0,0.0
7,600,20,36.588235,-4.9999999999999964,3.552713678800501e-15
8,700,22,31.588235,0.9999999999999964,5.999999999999993
9,800,20,32.588235,5.0,4.0000000000000036
10,900,42,37.588235,2.705883,-2.294117
11,1000,60,40.294118,-3.2941179999999974,-6.0000009999999975
12,1100,42,37.0,-5.0,-1.7058820000000026
13,1200,25,32.0,-5.0,0.0
14,1300,28,27.0,-5.0,0.0
15,1400,22,22.0,,
